area,title,description,entry
Complex Sentences,Purpose Clauses,Balanced,Purpose Clauses 1
Complex Sentences,Purpose Clauses,Balanced/deranked,Purpose Clauses 2
Complex Sentences,Purpose Clauses,Deranked,Purpose Clauses 3
Complex Sentences,Reason Clauses,Balanced,Reason Clauses 1
Complex Sentences,Reason Clauses,Balanced/deranked,Reason Clauses 2
Complex Sentences,Reason Clauses,Deranked,Reason Clauses 3
Complex Sentences,Relativization on Obliques,Gap,Relativization on Obliques 4
Complex Sentences,Relativization on Obliques,Non-reduction,Relativization on Obliques 2
Complex Sentences,Relativization on Obliques,Not possible,Relativization on Obliques 5
Complex Sentences,Relativization on Obliques,Pronoun-retention,Relativization on Obliques 3
Complex Sentences,Relativization on Obliques,Relative pronoun,Relativization on Obliques 1
Complex Sentences,Relativization on Subjects,Gap,Relativization on Subjects 4
Complex Sentences,Relativization on Subjects,Non-reduction,Relativization on Subjects 2
Complex Sentences,Relativization on Subjects,Pronoun-retention,Relativization on Subjects 3
Complex Sentences,Relativization on Subjects,Relative pronoun,Relativization on Subjects 1
Complex Sentences,Utterance Complement Clauses,Balanced,Utterance Complement Clauses 1
Complex Sentences,Utterance Complement Clauses,Balanced/deranked,Utterance Complement Clauses 2
Complex Sentences,Utterance Complement Clauses,Deranked,Utterance Complement Clauses 3
Complex Sentences,'Want' Complement Subjects,Both construction types exist,'Want' Complement Subjects 3
Complex Sentences,'Want' Complement Subjects,Desiderative particle,'Want' Complement Subjects 5
Complex Sentences,'Want' Complement Subjects,Desiderative verbal affix,'Want' Complement Subjects 4
Complex Sentences,'Want' Complement Subjects,Subject is expressed overtly,'Want' Complement Subjects 2
Complex Sentences,'Want' Complement Subjects,Subject is left implicit,'Want' Complement Subjects 1
Complex Sentences,'When' Clauses,Balanced,'When' Clauses 1
Complex Sentences,'When' Clauses,Balanced/deranked,'When' Clauses 2
Complex Sentences,'When' Clauses,Deranked,'When' Clauses 3
Lexicon,Cultural Categories of Languages with Identity of 'Finger' and 'Hand',Farmer-foragers,Cultural Categories of Languages with Identity of 'Finger' and 'Hand' 2
Lexicon,Cultural Categories of Languages with Identity of 'Finger' and 'Hand',Full-fledged farmers,Cultural Categories of Languages with Identity of 'Finger' and 'Hand' 3
Lexicon,Cultural Categories of Languages with Identity of 'Finger' and 'Hand',Hunter-gatherers,Cultural Categories of Languages with Identity of 'Finger' and 'Hand' 1
Lexicon,Finger and Hand,Different,Finger and Hand 2
Lexicon,Finger and Hand,Identical,Finger and Hand 1
Lexicon,Green and Blue,Black/blue vs. green,Green and Blue 4
Lexicon,Green and Blue,Black/green/blue,Green and Blue 3
Lexicon,Green and Blue,Green vs. blue,Green and Blue 1
Lexicon,Green and Blue,Green/blue,Green and Blue 2
Lexicon,Green and Blue,None,Green and Blue 7
Lexicon,Green and Blue,Yellow/green vs. blue,Green and Blue 6
