,name,latitude,longitude,count
0,Aghem,6.666666667,10.0,20
1,Aikaná,-12.66666667,-60.66666667,5
2,Aizi,5.25,-4.5,7
3,Akan,6.5,-1.25,29
4,Alawa,-15.16666667,134.25,17
5,Albanian,41.0,20.0,44
6,Aleut (Eastern),54.75,-164.0,6
7,Alladian,5.166666667,-4.333333333,7
8,Amo,10.33333333,8.666666667000001,19
9,Amuesha,-10.5,-75.41666667,13
10,Amuzgo,16.83333333,-98.0,9
11,Araona,-12.33333333,-67.75,36
12,Atayal,24.5,121.33333329999999,28
13,Azerbaijani,40.5,48.5,16
14,Bambara,12.5,-7.5,38
15,Basque,43.0,-3.0,50
16,Bawm,22.5,92.25,41
17,Beja,18.0,36.0,30
18,Berta,10.33333333,34.66666667,25
19,Birom,9.666666667000001,8.833333332999999,34
20,Bobo Madaré (Northern),12.41666667,-4.333333333,13
21,Brahui,28.5,67.0,40
22,Brao,14.16666667,107.5,31
23,Breton,48.0,-3.0,28
24,Bru (Western),16.75,104.75,8
25,Bulgarian,42.5,25.0,40
26,Bété,6.25,-6.25,11
27,Caddo,33.33333333,-93.5,6
28,Cahuilla,33.5,-116.25,31
29,Camsá,1.166666667,-77.0,10
30,Cantonese,23.0,113.0,52
31,Catalan,41.75,2.0,30
32,Cayapa,0.666666667,-79.0,11
33,Cham (Western),12.0,105.5,25
34,Chamorro,13.45,144.75,67
35,Chin (Tiddim),23.33333333,93.66666667,14
36,Chinantec (Lealao),17.33333333,-95.91666667,51
37,Chuvash,55.5,47.5,21
38,CiLuba,-6.0,22.0,8
39,Cocopa,32.33333333,-115.0,11
40,Dagbani,9.583333332999999,-0.5,30
41,Dagur,48.0,124.0,23
42,Daju (Dar Fur),12.25,25.25,7
43,Dan,7.5,-8.0,24
44,Dangaléat (Western),12.16666667,18.33333333,9
45,Diegueño (Mesa Grande),32.66666667,-116.16666670000001,17
46,Dinka,8.5,28.0,24
47,Diola-Fogny,13.0,-16.25,43
48,Diyari,-28.0,139.0,23
49,Dizi,6.166666667,36.5,17
50,Djapu,-12.66666667,136.0,28
51,Dong (Southern),27.0,109.0,34
52,Doyayo,8.666666667000001,13.08333333,27
53,Ejagham,5.416666667,8.666666667000001,6
54,English,52.0,0.0,69
55,Fijian,-17.83333333,178.0,71
56,French,48.0,2.0,57
57,Fulniô,-8.0,-37.5,11
58,Garrwa,-17.08333333,137.16666669999998,23
59,German,52.0,10.0,46
60,Gooniyandi,-18.33333333,126.33333329999999,48
61,Great Andamanese,12.0,92.66666667,8
62,Grebo,5.0,-8.0,57
63,Greek (Modern),39.0,22.0,56
64,Greenlandic (West),64.0,-51.0,39
65,Gwari,9.5,7.0,23
66,Hamer,5.0,36.5,14
67,Hopi,36.0,-110.0,18
68,Huastec,22.08333333,-99.33333333,36
69,Huave (San Mateo del Mar),16.21666667,-95.0,32
70,Iban,2.0,112.0,34
71,Ignaciano,-15.16666667,-65.41666667,21
72,Ijo (Kolokuma),4.916666667,5.666666667,21
73,Indonesian,0.0,106.0,103
74,Ingessana,11.5,34.0,21
75,Iranxe,-13.0,-58.0,12
76,Itonama,-12.83333333,-64.33333333,10
77,Ivatan,20.5,122.0,7
78,Javanese,-7.0,111.0,15
79,Jebero,-5.416666667,-76.5,18
80,Jingpho,25.41666667,97.0,24
81,K'ekchí,16.0,-89.83333333,7
82,Kadugli,11.0,29.66666667,20
83,Kalkatungu,-21.0,139.5,15
84,Kanakuru,10.0,12.0,31
